curriculum,subject,grade,topic_name,subtopic_canonical_code,subtopic_name,learning_objective,difficulty_min,difficulty_max,prerequisite_count
cambridge_lower,MATH,7,Algebra,MATH-ALG-G7-03,Inequalities,"Write, solve and represent linear inequalities on a number line; use correct inequality notation including strict and non-strict inequalities.",,,1
cambridge_lower,MATH,7,Algebra,MATH-ALG-G7-04,Linear Graphs,Plot and interpret graphs of linear functions; identify gradient and y-intercept from the equation y = mx + c; find the equation of a line from its graph.,,,1
cambridge_lower,MATH,7,Geometry and Measure,MATH-GEO-G7-01,Pythagoras' Theorem,State and apply Pythagoras' theorem to calculate the length of unknown sides in right-angled triangles; determine whether a triangle is right-angled.,,,0
cambridge_lower,MATH,7,Geometry and Measure,MATH-GEO-G7-02,Circles — Area and Circumference,Calculate the circumference and area of circles and semicircles; solve problems involving circles in real-world contexts.,,,0
cambridge_lower,MATH,7,Geometry and Measure,MATH-GEO-G7-03,Volume and Surface Area,"Calculate the volume and surface area of cuboids, triangular prisms and cylinders; solve problems in context.",,,1
cambridge_lower,MATH,7,Geometry and Measure,MATH-GEO-G7-04,Transformations,"Perform and describe rotations, reflections, translations and enlargements on a coordinate grid; identify properties preserved under each transformation.",,,0
cambridge_lower,MATH,7,Statistics and Probability,MATH-STAT-G7-01,Statistical Diagrams,"Construct and interpret scatter diagrams, stem-and-leaf diagrams and frequency polygons; describe correlation and identify outliers.",,,0
cambridge_lower,MATH,7,Statistics and Probability,MATH-STAT-G7-02,Averages from Grouped Data,Estimate the mean from a grouped frequency table; identify the modal class and the class containing the median; compare distributions.,,,1
cambridge_lower,MATH,7,Statistics and Probability,MATH-STAT-G7-03,Combined Event Probability,List outcomes systematically using sample space diagrams; calculate probabilities of combined events; apply P(A) + P(not A) = 1.,,,0
cambridge_lower,MATH,8,Number,MATH-NUM-G8-01,Surds,"Simplify surds; add, subtract and multiply expressions involving surds; rationalise a denominator of the form √n.",,,0
cambridge_lower,MATH,8,Number,MATH-NUM-G8-02,Proportional Reasoning,Apply direct and inverse proportion to multi-step problems; recognise and construct graphs of direct and inverse proportion.,,,0
cambridge_lower,MATH,8,Number,MATH-NUM-G8-03,Compound Measures,"Calculate speed, density and pressure using the correct formulae; convert between compound units; choose appropriate units for a given context.",,,0
cambridge_lower,MATH,8,Algebra,MATH-ALG-G8-01,Quadratic Expressions,Expand the product of two binomials; factorise quadratic expressions of the form x² + bx + c; recognise the difference of two squares.,,,0
cambridge_lower,MATH,8,Algebra,MATH-ALG-G8-02,Simultaneous Equations,Solve pairs of simultaneous linear equations using the elimination and substitution methods; interpret solutions graphically.,,,1
cambridge_lower,MATH,8,Algebra,MATH-ALG-G8-03,Functions,Understand and use function notation f(x); find outputs for given inputs; identify the domain and range of simple functions.,,,0
cambridge_lower,MATH,8,Algebra,MATH-ALG-G8-04,Nth Term of Sequences,Derive and use the nth term formula for arithmetic sequences; determine whether a given value is a term in a sequence.,,,0
cambridge_lower,MATH,8,Geometry and Measure,MATH-GEO-G8-01,Trigonometric Ratios,"Define and use sine, cosine and tangent ratios to calculate unknown sides and angles in right-angled triangles in 2D contexts.",,,0
cambridge_lower,MATH,8,Geometry and Measure,MATH-GEO-G8-02,Circle Properties,"Apply the properties of tangents, chords and the angle in a semicircle; calculate arc length and sector area as fractions of a full circle.",,,0
cambridge_lower,MATH,8,Geometry and Measure,MATH-GEO-G8-03,Similarity and Enlargement,"Identify similar figures; use scale factors to find unknown lengths, areas and volumes in similar shapes; perform enlargements with fractional scale factors.",,,0
cambridge_lower,MATH,8,Statistics and Probability,MATH-STAT-G8-01,Cumulative Frequency,"Construct and use cumulative frequency tables and graphs; estimate the median, lower and upper quartiles, and interquartile range.",,,0
cambridge_lower,MATH,8,Statistics and Probability,MATH-STAT-G8-02,Histograms,Draw and interpret histograms with unequal class widths using frequency density; calculate frequencies from a histogram.,,,1
cambridge_lower,MATH,8,Statistics and Probability,MATH-STAT-G8-03,Tree Diagrams and Combined Probability,Construct and use tree diagrams to calculate the probability of two or more combined independent and dependent events.,,,0
cambridge_lower,SCI,6,Scientific Enquiry,SCI-ENQ-G6-01,Planning Investigations,"Identify independent, dependent and control variables in a scientific investigation; write a testable hypothesis and design a fair test.",,,0
cambridge_lower,SCI,6,Scientific Enquiry,SCI-ENQ-G6-02,Recording and Presenting Data,"Select appropriate apparatus; record results accurately in clearly labelled tables; present data as bar charts and line graphs, choosing appropriate scales.",,,1
cambridge_lower,SCI,6,Biology,SCI-BIO-G6-01,Cells and Cell Functions,"Identify and label the structures of plant and animal cells; state the function of the nucleus, cell membrane, cytoplasm, cell wall, vacuole and chloroplasts.",,,0
cambridge_lower,SCI,6,Biology,SCI-BIO-G6-02,Photosynthesis,"Write the word equation for photosynthesis; describe the roles of light, chlorophyll, carbon dioxide and water; explain why plants are producers in a food chain.",,,1
cambridge_lower,SCI,6,Biology,SCI-BIO-G6-03,Ecosystems and Food Chains,"Construct and interpret food chains and food webs; describe the roles of producers, consumers and decomposers; explain energy flow through a food chain.",,,1
cambridge_lower,SCI,6,Chemistry,SCI-CHEM-G6-01,States of Matter,"Describe the arrangement and movement of particles in solids, liquids and gases; explain melting, boiling, condensation and freezing in terms of particle theory.",,,0
cambridge_lower,SCI,6,Chemistry,SCI-CHEM-G6-02,Mixtures and Separation Techniques,"Distinguish between elements, compounds and mixtures using particle diagrams; describe and explain filtration, evaporation, distillation and chromatography.",,,1
cambridge_lower,SCI,6,Chemistry,SCI-CHEM-G6-03,Properties of Materials,"Compare physical properties including hardness, solubility, thermal and electrical conductivity; explain material selection for specific uses based on properties.",,,1
cambridge_lower,SCI,6,Physics,SCI-PHY-G6-01,Forces and Their Effects,Identify contact and non-contact forces; describe the effects of balanced and unbalanced forces on the motion and shape of objects.,,,0
cambridge_lower,SCI,6,Physics,SCI-PHY-G6-02,Energy Forms and Transfer,"Identify different forms of energy (kinetic, potential, thermal, chemical, electrical, light, sound); describe energy transfers and transformations in everyday contexts.",,,0
cambridge_lower,SCI,6,Physics,SCI-PHY-G6-03,Electric Circuits,Draw and interpret circuit diagrams using standard symbols; describe the difference between series and parallel circuits; predict the effect of adding components.,,,1
cambridge_lower,SCI,7,Scientific Enquiry,SCI-ENQ-G7-01,Variables and Fair Testing,"Distinguish between independent, dependent and control variables; evaluate the validity and reliability of an investigation design.",,,0
cambridge_lower,SCI,7,Scientific Enquiry,SCI-ENQ-G7-02,Analysing Evidence and Drawing Conclusions,Identify patterns and anomalies in data; draw conclusions based on evidence; relate findings to scientific knowledge and suggest explanations.,,,1
cambridge_lower,SCI,7,Biology,SCI-BIO-G7-01,Human Organ Systems,"Describe the structure and function of the digestive, circulatory and respiratory systems; explain how these systems interact to sustain life.",,,0
cambridge_lower,SCI,7,Biology,SCI-BIO-G7-02,Reproduction,Compare sexual and asexual reproduction; describe fertilisation in plants and humans; explain the stages of the menstrual cycle.,,,0
cambridge_lower,SCI,7,Biology,SCI-BIO-G7-03,Nutrition and Health,"Identify the roles of carbohydrates, proteins, fats, vitamins, minerals and water in the diet; explain the effects of nutritional deficiency and excess on health.",,,1
cambridge_lower,SCI,7,Chemistry,SCI-CHEM-G7-01,"Atoms, Elements and the Periodic Table","Describe the structure of the atom in terms of protons, neutrons and electrons; use the Periodic Table to identify element properties and group trends.",,,0
cambridge_lower,SCI,7,Chemistry,SCI-CHEM-G7-02,Chemical and Physical Changes,"Distinguish between physical and chemical changes with examples; write word equations for combustion, oxidation and neutralisation reactions.",,,1
cambridge_lower,SCI,7,Chemistry,SCI-CHEM-G7-03,"Acids, Alkalis and Neutralisation","Use the pH scale to classify substances as acidic, neutral or alkaline; describe the reaction between acids and bases; use indicators to determine pH.",,,1
cambridge_lower,SCI,7,Physics,SCI-PHY-G7-01,Light and Optics,Describe reflection and refraction using ray diagrams; explain how lenses form images; describe dispersion of white light into a spectrum.,,,0
cambridge_lower,SCI,7,Physics,SCI-PHY-G7-02,Sound and Waves,Describe how sound is produced and transmitted as a longitudinal wave; relate pitch to frequency and loudness to amplitude; explain echoes and uses of ultrasound.,,,0
cambridge_lower,SCI,7,Physics,SCI-PHY-G7-03,Earth and Space,"Describe the structure of the solar system; explain day and night, seasons and lunar phases using models of the Earth's and Moon's motion.",,,0
cambridge_lower,SCI,8,Scientific Enquiry,SCI-ENQ-G8-01,Evaluating Investigations,Evaluate the quality of evidence by identifying sources of systematic and random error; suggest improvements to experimental design to increase reliability and validity.,,,0
cambridge_lower,SCI,8,Biology,SCI-BIO-G8-01,Genetics and Inheritance,Describe the structure of DNA and the role of genes in inheritance; use Punnett squares to predict ratios of offspring phenotypes for a single trait.,,,0
cambridge_lower,SCI,8,Biology,SCI-BIO-G8-02,Disease and Immunity,"Classify pathogens as bacteria, viruses, fungi and protists; describe modes of transmission; explain how the immune system responds and how vaccination prevents disease.",,,0
cambridge_lower,SCI,8,Biology,SCI-BIO-G8-03,Respiration and Gas Exchange,Write word equations for aerobic and anaerobic respiration; compare the two processes; describe the structure of the lungs and explain gas exchange across the alveoli.,,,0
cambridge_lower,SCI,8,Chemistry,SCI-CHEM-G8-01,The Periodic Table and Reactivity,Describe the trends in reactivity in Group 1 and Group 7; explain reactivity using electron configuration; write displacement reaction equations.,,,0
cambridge_lower,SCI,8,Chemistry,SCI-CHEM-G8-02,Rates of Reaction,"State and explain the effect of concentration, temperature, surface area and catalysts on reaction rate; use collision theory to explain these effects.",,,1
cambridge_lower,SCI,8,Chemistry,SCI-CHEM-G8-03,Reversible Reactions,Describe reversible reactions with examples such as hydration of copper sulfate; explain what happens to products and reactants when the reaction is reversed.,,,1
cambridge_lower,SCI,8,Physics,SCI-PHY-G8-01,Electromagnetism,Describe the magnetic field around a current-carrying conductor; explain how an electromagnet works; name applications including electric motors and relays.,,,0
cambridge_lower,SCI,8,Physics,SCI-PHY-G8-02,Wave Properties,"Define amplitude, frequency, wavelength and wave speed; calculate wave speed using v = fλ; distinguish between transverse and longitudinal waves.",,,0
cambridge_lower,SCI,8,Physics,SCI-PHY-G8-03,Forces and Motion,"Interpret distance-time and velocity-time graphs; calculate speed, acceleration and distance; state and apply Newton's First, Second and Third Laws.",,,0
cambridge_lower,ENG,6,Reading,ENG-READ-G6-01,Reading for Explicit Meaning,"Retrieve and select relevant explicit information from fiction and non-fiction texts to answer questions, using direct quotation or close paraphrase.",,,0
cambridge_lower,ENG,6,Reading,ENG-READ-G6-02,Inference and Deduction,"Make inferences about character, mood and situation from implicit information in a text; support inferences with specific evidence.",,,1
cambridge_lower,ENG,6,Reading,ENG-READ-G6-03,Language and Structure Analysis,"Identify and comment on a writer's language choices including figurative language, word choice and structural techniques, explaining their effects on the reader.",,,1
cambridge_lower,ENG,6,Writing,ENG-WRITE-G6-01,Writing for Purpose and Audience,"Plan and write texts for different purposes (inform, entertain, persuade) and audiences; select appropriate tone, register and vocabulary.",,,0
cambridge_lower,ENG,6,Writing,ENG-WRITE-G6-02,Narrative Writing,"Write engaging stories and descriptions using varied sentence structures, effective vocabulary, dialogue and imagery to create character and atmosphere.",,,1
cambridge_lower,ENG,6,Writing,ENG-WRITE-G6-03,Non-Fiction Writing,"Write well-structured non-fiction texts including formal letters, reports and instructions, using appropriate layout, conventions and language features.",,,1
cambridge_lower,ENG,6,Speaking and Listening,ENG-SPEAK-G6-01,Oral Presentations,"Plan and deliver a structured spoken presentation using clear vocabulary, appropriate pace and eye contact to engage a specified audience.",,,0
cambridge_lower,ENG,6,Speaking and Listening,ENG-SPEAK-G6-02,Group Discussion,"Participate actively in discussions by listening carefully, building on contributions, and supporting viewpoints with reasons and examples.",,,0
cambridge_lower,ENG,7,Reading,ENG-READ-G7-01,Inference and Interpretation,"Analyse and interpret character motivation, theme and writer's viewpoint in literary texts; support analysis with precisely selected and embedded quotations.",,,0
cambridge_lower,ENG,7,Reading,ENG-READ-G7-02,Language Analysis,"Explain the effects of a writer's vocabulary choices, figurative language and narrative voice; use subject terminology accurately when commenting on language.",,,1
cambridge_lower,ENG,7,Reading,ENG-READ-G7-03,Comparative Reading,"Compare how two texts present a similar theme or idea, exploring similarities and differences in the writers' language choices, structure and purpose.",,,1
cambridge_lower,ENG,7,Writing,ENG-WRITE-G7-01,Persuasive Writing,"Write persuasive texts using rhetorical devices including direct address, tricolon, rhetorical questions, emotive language and counter-argument.",,,0
cambridge_lower,ENG,7,Writing,ENG-WRITE-G7-02,Descriptive Writing,"Write atmospheric descriptions using sensory language, figurative devices and carefully chosen vocabulary to create mood and engage the reader.",,,0
cambridge_lower,ENG,7,Writing,ENG-WRITE-G7-03,Analytical Writing,Write structured analytical paragraphs using the point-evidence-explanation model; embed quotations and use subject-specific terminology to respond to literary texts.,,,1
cambridge_lower,ENG,7,Speaking and Listening,ENG-SPEAK-G7-01,Formal Debate,"Prepare and present arguments in a formal debate; respond to counter-arguments with evidence and maintain a formal, courteous register.",,,0
cambridge_lower,ENG,7,Speaking and Listening,ENG-SPEAK-G7-02,Critical Listening,Listen critically to a spoken text; identify the speaker's main argument and key supporting points; evaluate evidence and formulate relevant follow-up questions.,,,0
cambridge_lower,ENG,8,Reading,ENG-READ-G8-01,Critical Textual Analysis,"Analyse how a writer uses language, structure and form to create meaning and achieve effects in complex literary and non-literary texts; evaluate critically.",,,0
cambridge_lower,ENG,8,Reading,ENG-READ-G8-02,Cross-Text Synthesis,"Synthesise ideas and information from two or more texts; make relevant comparisons and present a coherent, evidence-based response.",,,1
cambridge_lower,ENG,8,Writing,ENG-WRITE-G8-01,Extended Writing,"Plan, draft, redraft and proofread extended written pieces demonstrating sustained control of form, structure, style and accurate grammar and punctuation.",,,0
cambridge_lower,ENG,8,Writing,ENG-WRITE-G8-02,Evaluative Writing,Write analytical and evaluative responses to literary texts; construct and sustain a critical argument with embedded evidence and subject-specific vocabulary.,,,1
cambridge_lower,ENG,8,Speaking and Listening,ENG-SPEAK-G8-01,Independent Presentation,"Deliver a well-prepared individual presentation on a chosen topic, demonstrating rhetorical awareness, appropriate register and sustained audience engagement.",,,0
igcse,MATH,9,Number,MATH-NUM-G9-01,Surds and Index Laws,"Simplify expressions involving surds; apply the laws of indices to evaluate and simplify expressions with integer, fractional and negative powers.",,,0
igcse,MATH,9,Number,MATH-NUM-G9-02,Standard Form Calculations,"Perform multiplication, division and powers of numbers expressed in standard form; convert between standard form and ordinary notation in multi-step problems.",,,1
igcse,MATH,9,Number,MATH-NUM-G9-03,Direct and Inverse Proportion,Set up and solve problems involving direct and inverse proportion; construct and use proportional models; interpret graphs of proportional relationships.,,,0
igcse,MATH,9,Algebra,MATH-ALG-G9-01,Quadratic Expressions and Factorisation,Expand double brackets; factorise quadratic expressions including difference of two squares and trinomials; complete the square for x² + bx + c.,,,0
igcse,MATH,9,Algebra,MATH-ALG-G9-02,Solving Quadratic Equations,"Solve quadratic equations by factorisation, completing the square and using the quadratic formula; interpret the discriminant; link solutions to graphical intersections.",,,1
igcse,MATH,9,Algebra,MATH-ALG-G9-03,Simultaneous Equations,Solve pairs of simultaneous linear equations by elimination and substitution; solve one linear and one quadratic simultaneous equation; interpret graphically.,,,1
igcse,MATH,9,Algebra,MATH-ALG-G9-04,Sequences,Derive and use the nth term formula for arithmetic sequences; identify and use geometric sequences; recognise other sequence types including quadratic.,,,0
igcse,MATH,9,Algebra,MATH-ALG-G9-05,Inequalities,Solve linear and simple quadratic inequalities; represent solution sets on number lines and using set notation; shade regions on a coordinate grid.,,,1
igcse,MATH,9,Coordinate Geometry,MATH-COORD-G9-01,Gradient and Equations of Lines,Calculate the gradient of a straight line; write and use the equation y = mx + c; find the equations of lines parallel and perpendicular to a given line.,,,0
igcse,MATH,9,Coordinate Geometry,MATH-COORD-G9-02,Distance and Midpoint,Calculate the distance between two coordinate points using the distance formula; find the coordinates of the midpoint of a line segment.,,,1
igcse,MATH,9,Geometry,MATH-GEO-G9-01,Circle Theorems,State and apply all standard circle theorems to find missing angles and lengths; provide formal geometric reasons at each step of a solution.,,,0
igcse,MATH,9,Geometry,MATH-GEO-G9-02,Similarity and Congruence,"Prove triangles congruent using SSS, SAS, ASA and RHS; use similarity ratios to find unknown lengths, areas and volumes in similar shapes.",,,0
igcse,MATH,9,Trigonometry,MATH-TRIG-G9-01,Trigonometric Ratios in 2D and 3D,"Use sine, cosine and tangent ratios to calculate missing sides and angles in right-angled triangles; extend to 3D problems involving trigonometry.",,,0
igcse,MATH,9,Trigonometry,MATH-TRIG-G9-02,Sine Rule and Cosine Rule,Apply the sine rule and cosine rule to find unknown sides and angles in non-right-angled triangles; calculate the area of a triangle using ½ab sin C.,,,1
igcse,MATH,9,Statistics and Probability,MATH-STAT-G9-01,Cumulative Frequency and Box Plots,"Construct and interpret cumulative frequency diagrams and box-and-whisker plots; estimate median, quartiles, percentiles and interquartile range.",,,0
igcse,MATH,9,Statistics and Probability,MATH-STAT-G9-02,Histograms with Unequal Class Widths,Draw and interpret histograms with unequal class widths using frequency density; calculate frequencies and class widths from a histogram.,,,0
igcse,MATH,9,Statistics and Probability,MATH-STAT-G9-03,Probability with Venn Diagrams and Tree Diagrams,"Calculate probability using Venn diagrams, two-way tables and tree diagrams; apply the addition rule and multiplication rule for independent events.",,,0
igcse,MATH,10,Number,MATH-NUM-G10-01,Compound Growth and Decay,Solve reverse percentage problems; calculate compound interest and depreciation; apply exponential growth and decay models to real-world problems.,,,0
igcse,MATH,10,Number,MATH-NUM-G10-02,Bounds and Error Intervals,Calculate upper and lower bounds of measurements rounded to a given degree of accuracy; use bounds to find the limits of calculated quantities.,,,0
igcse,MATH,10,Algebra,MATH-ALG-G10-01,Functions and Inverse Functions,"Use function notation; find composite and inverse functions; sketch and interpret graphs of standard functions including quadratic, cubic and reciprocal.",,,0
igcse,MATH,10,Algebra,MATH-ALG-G10-02,Transformation of Graphs,"Describe and apply translations f(x) + a, reflections f(−x) and −f(x), and stretches f(ax) and af(x) to graphs of functions.",,,1
igcse,MATH,10,Algebra,MATH-ALG-G10-03,Algebraic Proof,Construct and present algebraic proofs using manipulation and reasoning; prove identities; disprove statements using counter-examples.,,,1
igcse,MATH,10,Mensuration,MATH-MENSUR-G10-01,Arc Length and Sector Area,Calculate arc length and sector area as fractions of a full circle; calculate the area of a segment; solve problems involving circles in context.,,,0
igcse,MATH,10,Mensuration,MATH-MENSUR-G10-02,Surface Area and Volume of 3D Shapes,"Calculate the surface area and volume of spheres, cones, pyramids and composite 3D shapes; solve problems including frustums.",,,1
igcse,MATH,10,Vectors,MATH-VEC-G10-01,Vector Notation and Operations,"Represent vectors using column notation; add, subtract and multiply vectors by a scalar; calculate the magnitude of a vector.",,,0
igcse,MATH,10,Vectors,MATH-VEC-G10-02,Geometric Applications of Vectors,Use position vectors and vector addition to describe geometric paths; prove geometric results such as lines being parallel or points being collinear.,,,1
igcse,MATH,10,Statistics and Probability,MATH-STAT-G10-01,Statistical Investigation and Sampling,"Plan and critically evaluate statistical investigations; identify bias in sampling methods (convenience, systematic, stratified) and suggest improvements.",,,0
igcse,MATH,10,Statistics and Probability,MATH-STAT-G10-02,Conditional Probability,"Calculate conditional probability using two-way tables, Venn diagrams and tree diagrams; apply P(A|B) = P(A ∩ B) / P(B).",,,0
igcse,BIO,9,Cell Biology,BIO-CELL-G9-01,Cell Structure and Organelles,"Compare and contrast the structure of plant, animal and bacterial cells; state the function of each organelle including mitochondria, ribosomes and the endoplasmic reticulum.",,,0
igcse,BIO,9,Cell Biology,BIO-CELL-G9-02,Cell Membrane Transport,"Explain diffusion, osmosis and active transport in terms of particle movement; describe their roles in absorption, gas exchange and mineral uptake in living organisms.",,,1
igcse,BIO,9,Cell Biology,BIO-CELL-G9-03,Cell Division — Mitosis and Meiosis,Describe the stages of mitosis and meiosis; explain why mitosis is required for growth and repair; explain why meiosis produces genetic variation and is essential for sexual reproduction.,,,1
igcse,BIO,9,Biological Molecules and Enzymes,BIO-MOL-G9-01,Biological Molecules,"Identify the roles of carbohydrates, proteins, lipids and water in living organisms; use food tests (Benedict's, iodine, biuret and emulsion) to identify each food group.",,,0
igcse,BIO,9,Biological Molecules and Enzymes,BIO-MOL-G9-02,Enzyme Action and Factors,"Explain enzyme action using the lock-and-key model; describe and explain the effects of temperature, pH and substrate concentration on enzyme activity with reference to denaturation.",,,1
igcse,BIO,9,Plant Biology,BIO-PLANT-G9-01,Photosynthesis and Limiting Factors,"Write the balanced equation for photosynthesis; describe and explain the effect of light intensity, CO₂ concentration and temperature as limiting factors on the rate of photosynthesis.",,,0
igcse,BIO,9,Plant Biology,BIO-PLANT-G9-02,Transport in Plants and Transpiration,Describe the structure and function of xylem and phloem; explain the process of transpiration; describe the factors affecting transpiration rate and how to investigate them.,,,1
igcse,BIO,9,Human Physiology,BIO-PHYSIO-G9-01,Digestion and Absorption,Describe the structure and function of the alimentary canal; explain chemical digestion by enzymes and the absorption of nutrients into the blood.,,,0
igcse,BIO,9,Human Physiology,BIO-PHYSIO-G9-02,Gas Exchange in the Lungs,Describe the structure of the lungs and alveoli; explain how the alveoli are adapted for efficient gas exchange; describe the mechanism of breathing.,,,1
igcse,BIO,9,Reproduction,BIO-REPRO-G9-01,Human Reproduction,"Describe the structure of the male and female reproductive systems; explain fertilisation, implantation, the role of the placenta and the stages of birth.",,,0
igcse,BIO,9,Reproduction,BIO-REPRO-G9-02,Reproduction in Flowering Plants,Describe self-pollination and cross-pollination; explain fertilisation in flowering plants; describe the conditions required for seed germination.,,,0
igcse,BIO,10,Human Physiology,BIO-PHYSIO-G10-01,The Circulatory System,Describe the structure of the heart and blood vessels; explain the cardiac cycle and the double circulatory system; describe the composition and functions of blood components.,,,0
igcse,BIO,10,Human Physiology,BIO-PHYSIO-G10-02,Coordination and Response,"Describe the structure of the nervous system; explain reflex arcs; describe the roles of key hormones including adrenaline, insulin and glucagon in homeostasis.",,,0
igcse,BIO,10,Human Physiology,BIO-PHYSIO-G10-03,Excretion and Osmoregulation,Describe the structure of the kidney nephron; explain the processes of ultrafiltration and selective reabsorption; describe how the kidney regulates water balance.,,,0
igcse,BIO,10,Human Physiology,BIO-PHYSIO-G10-04,Disease and Immunity,Classify pathogens by type; describe routes of transmission; explain how the immune system responds to infection; distinguish between active and passive immunity and describe vaccination.,,,0
igcse,BIO,10,Reproduction and Genetics,BIO-REPRO-G10-01,Inheritance and Genetic Diagrams,"Use Punnett squares to predict the inheritance of monohybrid traits; explain codominance, multiple alleles and sex-linked inheritance with worked examples.",,,0
igcse,BIO,10,Reproduction and Genetics,BIO-REPRO-G10-02,Variation and Mutation,Distinguish between continuous and discontinuous variation; explain how gene mutations and environmental factors contribute to variation; describe the consequences of mutation.,,,1
igcse,BIO,10,Evolution and Ecology,BIO-EVOL-G10-01,Natural Selection and Evolution,"Explain how natural selection leads to evolution over time; describe evidence for evolution including fossil records, antibiotic resistance and selective breeding.",,,0
igcse,BIO,10,Evolution and Ecology,BIO-EVOL-G10-02,Ecosystems and Human Impact,"Describe the carbon and nitrogen cycles; explain the effects of deforestation, pollution, climate change and over-exploitation on ecosystems and biodiversity.",,,0
igcse,BIO,10,Evolution and Ecology,BIO-EVOL-G10-03,Biotechnology and Genetic Engineering,Describe the principles of selective breeding and genetic engineering including gene cloning; evaluate the benefits and ethical concerns of biotechnology.,,,0
igcse,CHEM,9,Particles and Atomic Structure,CHEM-ATOM-G9-01,Atomic Structure and the Periodic Table,"Describe the structure of the atom in terms of protons, neutrons and electrons; determine electronic configuration; explain how the Periodic Table is arranged by atomic number and group.",,,0
igcse,CHEM,9,Particles and Atomic Structure,CHEM-ATOM-G9-02,Isotopes and Relative Atomic Mass,Define isotopes and relative atomic mass; calculate RAM from isotopic abundances; describe the use of mass spectrometry and radioactive isotopes.,,,1
igcse,CHEM,9,Chemical Bonding and Structure,CHEM-BOND-G9-01,Ionic Bonding and Structure,Explain the formation of ionic bonds by electron transfer; draw dot-and-cross diagrams for common ionic compounds; describe the giant ionic lattice and explain its properties.,,,1
igcse,CHEM,9,Chemical Bonding and Structure,CHEM-BOND-G9-02,Covalent Bonding and Structure,Explain covalent bond formation by electron sharing; draw dot-and-cross diagrams; distinguish between simple molecular and giant covalent structures and explain their properties.,,,1
